Journal	Year Published	Confirmed	PMID	PMCID
PLosOne	2014	Confirmed	24465970	PMC3897657
PLosOne	2014	Confirmed	24558479	PMC3928427
PLosOne	2014	Confirmed	24586730	PMC3931727
PLosOne	2014	Confirmed	24586730	PMC3931727
PLosOne	2014	FalsePositive	24587179	PMC3938550
PLosOne	2014	Confirmed	24587257	PMC3937440
PLosOne	2014	Confirmed	24594983	PMC3940881
PLosOne	2014	Confirmed	24643011	PMC3958411
PLosOne	2014	Confirmed	24694993	PMC3973632
PLosOne	2014	Confirmed	24699680	PMC3974860
PLosOne	2014	Confirmed	24755620	PMC3995778
PLosOne	2014	Confirmed	24748104	PMC3991715
PLosOne	2014	Confirmed	24788701	PMC4006814
PLosOne	2014	Confirmed	24788701	PMC4006814
PLosOne	2014	Confirmed	24788701	PMC4006814
PLosOne	2014	Confirmed	24788701	PMC4006814
PLosOne	2014	Confirmed	24810602	PMC4014590
PLosOne	2014	Confirmed	24905834	PMC4048279
PLosOne	2014	Confirmed	24905834	PMC4048279
PLosOne	2014	Confirmed	24956270	PMC4067418
PLosOne	2014	Confirmed	24956270	PMC4067418
PLosOne	2014	Confirmed	24992012	PMC4081042
PLosOne	2014	Confirmed	25003790	PMC4086960
PLosOne	2014	Confirmed	25093668	PMC4122342
PLosOne	2014	Confirmed	25093668	PMC4122342
PLosOne	2014	Confirmed	25084273	PMC4118979
PLosOne	2014	Confirmed	25084273	PMC4118979
PLosOne	2014	Confirmed	25133526	PMC4136869
PLosOne	2014	Confirmed	25157878	PMC4144907
PLosOne	2014	Confirmed	25198282	PMC4157793
PLosOne	2014	Confirmed	25279834	PMC4184787
PLosOne	2014	Confirmed	25390899	PMC4229214
PLosOne	2014	Confirmed	25419838	PMC4242529
PLosOne	2014	Confirmed	25409526	PMC4237438
PLosOne	2014	Confirmed	25486255	PMC4259346
PLosOne	2015	Confirmed	25602294	PMC4300088
PLosOne	2015	Confirmed	25790369	PMC4366019
PLosOne	2015	Confirmed	25643023	PMC4314071
PLosOne	2015	Confirmed	25643023	PMC4314071
PLosOne	2015	Confirmed	25643023	PMC4314071
PLosOne	2015	Confirmed	25643023	PMC4314071
PLosOne	2015	Confirmed	25643023	PMC4314071
PLosOne	2015	Confirmed	25658832	PMC4319764
PLosOne	2015	Confirmed	25742137	PMC4350920
PLosOne	2015	Confirmed	25742137	PMC4350920
PLosOne	2015	Confirmed	25742137	PMC4350920
PLosOne	2015	Confirmed	25822772	PMC4378937
PLosOne	2015	Confirmed	25793379	PMC4368631
PLosOne	2015	Confirmed	25859847	PMC4479500
PLosOne	2015	Confirmed	25849573	PMC4388518
PLosOne	2015	Confirmed	25886283	PMC4401557
PLosOne	2015	Confirmed	25905921	PMC4408095
PLosOne	2015	Confirmed	25974068	PMC4431873
PLosOne	2015	Confirmed	26000771	PMC4441472
PLosOne	2015	Confirmed	25970601	PMC4430287
PLosOne	2015	Confirmed	26106884	PMC4480358
PLosOne	2015	Confirmed	26020268	PMC4447437
PLosOne	2015	Confirmed	26121572	PMC4486168
PLosOne	2015	Confirmed	26167691	PMC4500563
PLosOne	2015	Confirmed	26147798	PMC4492948
PLosOne	2015	Confirmed	26133981	PMC4489805
PLosOne	2015	Confirmed	26147972	PMC4492998
PLosOne	2015	Confirmed	26192751	PMC4508115
PLosOne	2015	Confirmed	26241044	PMC4524680
PLosOne	2015	Confirmed	26226016	PMC4520568
PLosOne	2015	Confirmed	26405815	PMC4583389
PLosOne	2015	Confirmed	26405815	PMC4583389
PLosOne	2015	Confirmed	26383639	PMC4575048
PLosOne	2015	Confirmed	26378456	PMC4574564
PLosOne	2015	Confirmed	26378456	PMC4574564
PLosOne	2015	Confirmed	26465880	PMC4605649
PLosOne	2015	Confirmed	26444573	PMC4596691
PLosOne	2015	Confirmed	26444573	PMC4596691
PLosOne	2015	Confirmed	26510177	PMC4624949
PLosOne	2015	Confirmed	26529237	PMC4631338
PLosOne	2015	Confirmed	26636579	PMC4670106
PLosOne	2015	Confirmed	26695660	PMC4687867
PLosOne	2015	Confirmed	26684451	PMC4684321
